Municipality,Gem_code_CBS,Municipality_ID,Region,Region_ID,RES,RES_ID,Provincie,Provincie_ID
Woerden,0632,GM0632,U16,REG15,U16,15,Utrecht,PV26
Mook en Middelaar,0944,GM0944,Noord- en Midden-Limburg,REG37,Noord- en Midden-Limburg,37,Limburg,PV31
Cranendonck,1706,GM1706,Metropoolregio Eindhoven,REG34,Metropoolregio Eindhoven,34,Noord-Brabant,PV30
Epe,0232,GM0232,Cleantech,REG13,Cleantech,13,Gelderland,PV25
Montfoort,0335,GM0335,U16,REG15,U16,15,Utrecht,PV26
Schouwen-Duiveland,1676,GM1676,Zeeland,REG32,Zeeland,32,Zeeland,PV29
Pekela,0765,GM0765,Groningen,REG01,Groningen,1,Groningen,PV20
Bloemendaal,0377,GM0377,IJmond-Zuid-Kennemerland,REG20,IJmond-Zuid-Kennemerland,20,Noord-Holland,PV27
Nieuwegein,0356,GM0356,U16,REG15,U16,15,Utrecht,PV26
Beesel,0889,GM0889,Noord- en Midden-Limburg,REG37,Noord- en Midden-Limburg,37,Limburg,PV31
Roosendaal,1674,GM1674,West-Brabant,REG36,West-Brabant,36,Noord-Brabant,PV30
Putten,0273,GM0273,Noord-Veluwe,REG11,Noord-Veluwe,11,Gelderland,PV25
Tubbergen,0183,GM0183,Twente,REG04,Twente,4,Overijssel,PV23
Culemborg,0216,GM0216,Fruitdelta Rivierenland,REG12,Fruitdelta Rivierenland,12,Gelderland,PV25
Harlingen,0072,GM0072,Friesland,REG02,Friesland,2,Fryslân,PV21
Oegstgeest,0579,GM0579,Holland Rijnland,REG29,Holland Rijnland,29,Zuid-Holland,PV28
Eersel,0770,GM0770,Metropoolregio Eindhoven,REG34,Metropoolregio Eindhoven,34,Noord-Brabant,PV30
Velsen,0453,GM0453,IJmond-Zuid-Kennemerland,REG20,IJmond-Zuid-Kennemerland,20,Noord-Holland,PV27
Drechterland,0498,GM0498,West-Friesland,REG18,West-Friesland,18,Noord-Holland,PV27
Heerenveen,0074,GM0074,Friesland,REG02,Friesland,2,Fryslân,PV21
Oostzaan,0431,GM0431,Zaanstreek-Waterland,REG21,Zaanstreek-Waterland,21,Noord-Holland,PV27
Tynaarlo,1730,GM1730,Drenthe,REG03,Drenthe,3,Drenthe,PV22
Ede,0228,GM0228,Foodvalley Gelderland,REG09,Foodvalley Gelderland,9,Gelderland,PV25
Voorst,0285,GM0285,Cleantech,REG13,Cleantech,13,Gelderland,PV25
Ommen,0175,GM0175,West-Overijssel,REG05,West-Overijssel,5,Overijssel,PV23
Zandvoort,0473,GM0473,IJmond-Zuid-Kennemerland,REG20,IJmond-Zuid-Kennemerland,20,Noord-Holland,PV27
Zundert,0879,GM0879,West-Brabant,REG36,West-Brabant,36,Noord-Brabant,PV30
Utrecht,0344,GM0344,U16,REG15,U16,15,Utrecht,PV26
Enkhuizen,0388,GM0388,West-Friesland,REG18,West-Friesland,18,Noord-Holland,PV27
De Bilt,0310,GM0310,U16,REG15,U16,15,Utrecht,PV26
Hendrik-Ido-Ambacht,0531,GM0531,Drechtsteden,REG26,Drechtsteden,26,Zuid-Holland,PV28
